SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
MN Duluth, Bulldogs, UMND, Central Sun, FFCC33, 7A0019, 89, MN, MN;
Fort Hays State, Tigers, FHSU, Central Sun, FDB913, 000000, 86, KS, KS;
Northwest Missouri State, Bearcats, NWMO, Central Sun, 006A4E, FFFFFF, 86, MO, MO;
Minnesota State Mankato, Mavericks, MNSU, Central Sun, 49306E, FEBD11, 86, MN, MN;
Minnesota State Moorhead, Dragons, MSUM, Central Sun, CE142C, 000000, 85, MN, MN;
Augustana, Vikings, AGUST, Central Sun, 0E1B3B, FCD006, 84, SD, SD;
Southwest Minnesota State, Mustangs, SMSU, Central Sun, AC923C, 381507, 80, MN, MN;
Sioux Falls, Cougars, SIOUX, Central Sun, 492F91, FFFFFF, 80, SD, SD;
Winona State, Warriors, WINST, Central Sun, 4B08A1, FFFFFF, 79, MN, MN;
Missouri Western, Griffons, MWSU, Central Sun, FFC700, 000000, 78, MO, MO;
Wayne State NE, Wildcats, WSC, Central Sun, FFC629, 000000, 77, NE, NE;
St. Cloud State, Huskies, STCLD, Central Sun, CD1041, 000000, 75, MN, MN;
Minot State, Beavers, MINOT, Central Sun, CE0E2D, 666666, 73, ND, ND;
Northern State, Wolves, NTHST, Central Sun, 990033, F8DD9A, 72, SD, SD;
Bemidji State, Beavers, BMDJI, Central Sun, 004D44, D4B67C, 61, MN, MN;
Concordia Saint Paul, Golden Bears, CCDSP, Central Sun, 0A3154, DDAD25, 58, MN, MN;
MO Saint Louis, Tritons, UMSL, Midwest, BA0C2F, EAAB00, 84, MO, MO;
Indianapolis, Greyhounds, UINDY, Midwest, B20A38, 77777A, 83, IN, IN;
Ferris State, Bulldogs, FERST, Midwest, BA0C2F, FFD043, 83, MI, MI;
Northern Michigan, Wildcats, NMICH, Midwest, 095339, FFC425, 82, MI, MI;
Upper Iowa, Peacocks, UIU, Midwest, 90C7E7, 001F60, 81, IA, IA;
Walsh, Cavaliers, WALSH, Midwest, 6D0020, BE9B60, 80, OH, OH;
Grand Valley State, Lakers, GVSU, Midwest, 0032A0, FFFFFF, 79, MI, MI;
Lake Superior State, Lakers, LSSU, Midwest, 003F87, FFC61E, 79, MI, MI;
